Continue to the partially-completed dock.	部分的に完成したドックに進みます。
Requested escort location of a Lost Sun vessel.	失われた太陽船の護衛場所を要求しました。
The hospital at this beacon is indeed guarded by a hacker vessel as you were told. They swiftly hail: "If you don't have our ranssssom, then you'd besssst leave immediately."	このビーコンの病院は、あなたが言われたように、実際にハッカー船に守られています。彼らは迅速に次のように呼びかけます：「もしあなたが私たちのランズツァムを持っていなければ、あなたはすぐに去ることになります。」
Charlie	チャーリー
"Fine! This cause is not worth our lives. We'll overlook this crime if you spare us."	「ファイン！この大義は私たちの生活の価値がありません。あなたが私たちをspareしまないなら、私たちはこの犯罪を見落とします。」
Your attempts at lying are fruitless, at least at first. Even after getting turned away, a little while later you're contacted by another Vampweed. "Ssssh, don't tell anyone about this! I'm a merchant, not an idealist. These guys... they don't have what it takes to make a profit. Turning away customers like that? It's idiocy! I'll sell to you, but you've got to make it quick!"	あなたの嘘の試みは、少なくとも最初は実りがありません。背を向けた後でも、しばらくして、別のヴァンプウィードから連絡があります。「ssssh、これについて誰にも言わないでください！私は商人であり、理想主義者ではありません。これらの人たち...彼らは利益を上げるために必要なものを持っていません。ll sell youに販売しますが、あなたはそれを迅速にしなければなりません！」
Your crew are able to find a weak point in the crystals and break through before the fire spreads. All of the patients are able to be rescued. "Whew. That was a close one. Thank you for saving the clinic. Unfortunately, the patient in question will still be difficult to treat in their current condition..."	あなたの乗組員は、火災が広がる前に結晶の弱点を見つけて突破することができます。すべての患者は救助されることができます。「うん。それは近いものだった。診療所を救ってくれてありがとう。残念ながら、問題の患者は現在の状態で治療するのが難しいだろう...」
The settlers will likely want them dead - and you're willing to help them out.	入植者はおそらく彼らを死にたいと思うでしょう - そしてあなたは彼らを助けてくれることをいとわないでしょう。
The longer he's alive, the faster and stronger he gets	彼が長く生きているほど、彼はより速く、強くなります
The ship of a wealthy spore trader, but ill-equipped for combat. It carries a very valuable cargo - at the cost of the health of its crew.	裕福な胞子トレーダーの船ですが、戦闘のために装備されていません。それは非常に貴重な貨物を運んでいます - 乗組員の健康を犠牲にして。
"Not enough, but will manage! Maybe find Hive stash."	「十分ではありませんが、管理します！ハイブスタッシュを見つけるかもしれません。」
The black vessel has been destroyed. There's plenty to scrap but you have little time. You need to keep going and reach Her! If you waste your resources and effort fighting every one of these enemies, you'll never make it!	黒い容器は破壊されました。スクラップにはたくさんありますが、時間はほとんどありません。あなたは続けて彼女に到達する必要があります！これらの敵のすべてと戦うためにあなたのリソースと努力を無駄にするなら、あなたは決してそれを作ることはありません！
Combined Harmony Reputation [2]	調和の評判を組み合わせた[2]
"Are you certain Sssstranger? Thissss isss very risssky!"	「あなたは確かなsssstrangerですか？これは非常にリスキーです！」
"Thanks. Have treasure. Very grateful."	「ありがとう。宝物を持ってください。とても感謝しています。」
Who cares about sightseeing? We have better things to do.	誰が観光を気にしますか？やるべきことがもっとあります。
"You don't know what you're missssing out on. What if I lower the price even more?"	「あなたが何を見逃しているのかわからない。価格をさらに下げるとどうなりますか？」
You have stumbled upon some kind of Rebel depot. Dozens of transport ships travel in queues towards the central warehouses, and a couple workers on the ground carry back and forth crates of supplies. Defense wise, it's not impenetrable, but a nasty looking Ace vessel is standing guard.	あなたはある種の反乱軍のデポに出くわしました。数十の輸送船が中央の倉庫に向かって列に並んで移動し、地面にいる数人の労働者が物資の前後に運ばれます。防衛的には、それは不可解ではありませんが、厄介な見た目のエース船がスタンディングガードです。
(Saltman Crew) Take the form of the Saltman.	（ソルトマンクルー）ソルトマンの形をとってください。
(Adv. Weapons) Fire a warning shot from your strongest weapon.	（Adv。Weapons）あなたの最強の武器から警告ショットを発射します。
"Long ago, I was but an ordinary flower minding my own business, when from the sky fell a cosmic gift!" The Orchid reaches into their pocket and pulls out a moldly slice of bacon, waving it to you carelessly. "This is the sacred slab! It fell straight from the leaves of Cyrtal'y Mncolo, the tree of life! I was chosen to protect the slab with my life from the jackals of hell! The Slugs in suits! Ever since that day a man in a suit and briefcase has been following me, trying to take the slab! But I shan't relent! Never! The slab must be protected!"	「昔、私は空から宇宙の贈り物に落ちたとき、私自身のビジネスを心に留めている普通の花でした！」ランはポケットに手を伸ばし、ベーコンのめちゃくちゃスライスを引き出し、不注意にあなたにそれを振っています。「これは神聖なスラブです！シルタル・ムンコロの葉からまっすぐ落ちました。スーツとブリーフケースを着た男は私をフォローしていて、スラブを取ろうとしています！しかし、私は容赦しません！決して！
The guard looks ashamed. "Uh... Premier, I do apologize! We weren't aware you were coming. You are... uh, quite unpredictable sometimes. The fee will be waived, of course." The guard blinks. "Please don't mention this to my superiors."	警備員は恥ずかしく見えます。「ええと...プレミア、私は謝罪します！私たちはあなたが来ていることを知りませんでした。あなたは...ええと、非常に予測不可能です。もちろん、料金は免除されます。」ガードは点滅します。「これを私の上司に言及しないでください。」
"Your destruction will increase the Harmony prosperity index by 0.03%. Do not resist." The Harmony has sent a patrol after you!	「あなたの破壊は、ハーモニー・繁栄の指数を0.03％増加させます。抵抗しないでください。」ハーモニーはあなたの後にパトロールを送りました！
A Coalition vessel hovers menacingly over the HQ, nearly side-by-side with a damaged Vampweed Cruiser drifting through orbit- all contrasted by the dead-silent security alarms planetside. The Coalition hails you. "I had a feeling you'd sssshow up, Renegade. Your kind hassss alwaysss sssstuck their nosssse where it doesssn't belong. The Confederacy will never be your ally! Their dessstiny is with the greatessst faction in the galaxy - the Coalition!" As they start attacking you, you notice that you've been boarded by some Cultivators!	連合船は、本部の上に恐ろしく覆われ、ほぼ並んで軌道上に並んでいます。連合はあなたを歓迎します。「私はあなたがsssshowを上げていると感じていました、反逆者。あなたの親切なhassssは常にそれが属していない場所に彼らのnosssseを攻撃します。連合は決してあなたの味方になりません！彼らがあなたを攻撃し始めると、あなたはいくつかの耕作者に搭乗されていることに気づきます！
(Ivar) Ivar introduces himself.	（Ivar）Ivarは自己紹介をします。
"Right, right." He stashes the poetry behind him. "Thank you for your honesty, captain."	"そうそう。"彼は彼の後ろに詩を隠します。「正直にありがとう、キャプテン。」
You have defeated the Confederate guard. Without crew on-board to stop you, you can investigate their cargo. You find a weapon to bring back to the ship, and move on to scrap their hull.	あなたは南軍の警備員を倒しました。乗組員があなたを止めるために船内にいなければ、あなたは彼らの貨物を調査することができます。船に戻す武器を見つけ、船体を廃棄するために移動します。
"Good choice, it is what we pride ourselves on."	「良い選択、それは私たちが自分自身に誇りを持っていることです。」
An Inquisition vessel has requested that you meet them here so they can judge your prowess.	異端審問容器は、あなたがあなたの腕前を判断できるように、あなたがここで彼らに会うように要求しました。
They seem wary at the prospect of an alien fixing their issue. The Engi diagnoses the problem, and indeed they have no parts to fix it. Fortunately, this component exists on your own ship as a redundancy. The refrigeration unit is fixed.	彼らは、エイリアンが彼らの問題を修正する見通しに警戒しているようです。ENGIは問題を診断し、実際にそれを修正する部分はありません。幸いなことに、このコンポーネントは冗長性としてあなた自身の船に存在します。冷蔵ユニットが固定されています。
Survey the rest of the territory.	残りの領土を調査します。
Try to talk them out of it.	それからそれらを話してみてください。
"Good choice, Fed." The carpenter leads your crew member away from his shop, escorting him back to the shuttle. Doesn't look like you'll be welcome here anymore.	「良い選択、給餌。」大工はあなたの乗組員を彼の店から遠ざけ、彼をシャトルに戻します。もうここで歓迎されるようには見えません。
Opt out.	身を引く。
A hail comes in from a human Federation officer working aboard the nearby Free Mantis station. "I must say, these Free Mantis are... very interesting to work with. When I first was rescued from Rebel captivity by one, they kissed me and started praying at my feet. We're married now!" The Federation captain pauses before remembering what he was talking about. "Er... sorry, when you live among the Free Mantis too long you start to ramble about nothing. Is there any assistance you're in need of? I'm sure the rest of the crew here would be honored to help you."	近くの無料マンティス駅に乗って働いている人間の連盟の役員からのailがやって来ます。「私は言わなければならない、これらの無料のマンティスは...一緒に仕事をするのが非常に興味深い。私が最初に反乱軍の捕虜から救われたとき、彼らは私にキスをして、私の足元で祈り始めた。私たちは今結婚している！」フェデレーションのキャプテンは、彼が話していることを思い出す前に一時停止します。「えー...申し訳ありませんが、あなたがあまりにも長い間無料のカマキリの中に住んでいるとき、あなたは何もしていません。あなたが必要としている援助はありますか？。」
No, not really...	いいえ、そうではありません...
Reveals details about surrounding beacons, and allows the ship to jump to any previously visited beacon.	周囲のビーコンの詳細を明らかにし、船が以前に訪れたビーコンにジャンプできるようにします。
"Comrades! The Theocracy believes that this Renegade will deliver you into the Theocracy's iron fist. However, they have played right into our hands! We will feign victory over you, and lure the Theocracy's forces." The Leeches seems surprised at Alkram's presence, but they are no stranger to guerilla tactics.	「同志！神権政治は、このレネゲードがあなたを神権政治の鉄の拳に届けると信じています。しかし、彼らは私たちの手に直行しました！ヒルはアルクラムの存在に驚いているようですが、ゲリラの戦術に馴染みがありません。
You expect Jerry to finish relatively soon, but instead he just keeps on going, even when the game starts to become obviously and ridiculously hard. Nothing can break his concentration, not even the growing audience of children and arcade enthusiasts watching him and cheering with delight as he progresses into the triple digits of levels. Racking up a score of several hundred thousand, by the time the difficulty exceeds human limitations, Jerry's surpassed the previous top high score by more than three times as much. Even still, he seems uncharacteristically mad at himself. "I could have done better. The version I had in the Protectorate had a bit more health and better items but... Oh." Jerry seems to finally notice the crowd watching him. Embarrassed, he slinks away to the prize counter.⏎⏎The prize is only a metal pin of Sammy the Spider, which Jerry barely even seems to look at before handing it to you. "I was hoping for something Ellie related. I don't really care for Sammy... maybe you can pawn it? This is quality metal and some collector will probably want it."	あなたはジェリーが比較的早く終わることを期待していますが、代わりに、ゲームが明らかに途方もなく激しくなり始めたときでさえ、彼はただ続け続けます。彼の集中力を破ることはできません。子どもやアーケード愛好家の観客が増えていないことさえ、彼がレベルの3倍の数字に進むにつれて喜んで応援していません。困難が人間の制限を超える頃には、数十万のスコアを獲得し、ジェリーは以前のトップハイスコアを3倍以上上回りました。それでも、彼は特徴的に自分自身に怒っているようです。「私はもっとうまくやることができたでしょう。保護領で持っていたバージョンには、もう少し健康とより良いアイテムがありましたが...ああ。」ジェリーはついに群衆が彼を見ていることに気づいたようです。恥ずかしいことに、彼は賞のカウンターに滑り落ちます。「私はエリーが関連する何かを望んでいました。私はサミーを本当に気にしません...多分あなたはそれをポーンすることができますか？これは高品質の金属であり、一部のコレクターはおそらくそれを望むでしょう。」
The Coalition ship arms weapons, but doesn't activate their engines.	連合は武器を武器に船しますが、エンジンを活性化しません。
A skewer?	串？
This is a waste of time. I'm leaving.	これは時間の無駄です。私は行きます。
DA-SR 12 [Geniocracy Coreworlds]	da-sr 12 [Geniocracy Coreworlds]
Geniocracy Notoriety [1]	geniocracyの悪名[1]
The Rocks, frustrated, do a quick patch-job on their station.	イライラしている岩は、駅で簡単なパッチとジョブをします。
The captain of the Militia patrol growls at you. "I'm sick of the Federation always acting so high and mighty. Time to knock you down a peg!"	民兵のパトロールの船長があなたにうなり声を上げます。「私は、常に非常に高くて強大な連盟にうんざりしています。ペグをノックダウンする時です！」
Accept the grateful Suzerain onto your crew.	あなたの乗組員に感謝の融合を受け入れてください。
"In this territory, there is a hatchery for future Suzerains and Bishops. However, dangerous rogue defectors have taken hold of it. By order of the queen, the eggs must be secured and moved to a new location. I will transfer the coordinates of the Hatchery to you now. I hope to see you there."	「この領土には、将来の宗主と司教のためのhatch化場があります。しかし、危険な不正な亡命者はそれを定着させています。女王の秩序により、卵は確保されて新しい場所に移動する必要があります。今あなたへのhatch化場。そこでお会いしましょう。」
"I ssssee, I sssee! You're a haggler... but I'll have you know asss a Sssslug I won't let up ssso eassssily! Presssent your bessst challenger, or sssurrender and pay the price! The price of the toilet that isss. I'm not going to kill you, don't worry."	「私はsssee、私はsssee！あなたはハグラーです...しかし、私はあなたにsssslugをsssoを簡単にさせないことを知っています！ISSのトイレ。私はあなたを殺すつもりはありません、心配しないでください。」
This weapon uses kernels of giant plants from the Orchid home planet as ammunition. This modified Kernel weapon will always create a fire instead of a breach. Powerful Elite version with a guaranteed stun and higher chance to ignore their ammo cost.	この武器は、ランの故郷の惑星からの巨大植物の核を弾薬として使用しています。この変更されたカーネル武器は、違反の代わりに常に火を作ります。保証されたスタンと弾薬コストを無視するチャンスが高い強力なエリートバージョン。
(Jerry) Admonish them.	（ジェリー）彼らに警告します。
You start calibrating the augment...	増強の校正を開始します...
(Orchid Children) Offer them some food.	（蘭の子供たち）は食べ物を提供します。
I've heard you out, but I'm still going to do it.	私はあなたに聞いたことがありますが、私はまだそれをするつもりです。
"Lanius... ship? Stuff give, deserving!" A few supplies fly out of an airlock on the Lanius ship.	「ラニウス...船？物が与える、ふさわしい！」ラニウス船のエアロックからいくつかの物資が飛び出します。
You set up some explosives hidden in crucial areas, and arm them such that when the Rebels come back to this place and inspect your handiwork, they will be caught in the crossfire. This does mean you won't be able to salvage the wreckage of the dock, but you scrounge whatever materials they left lying around before you leave.	重要な領域に隠されたいくつかの爆発物を設定し、反乱軍がこの場所に戻って手仕事を検査すると、彼らはクロスファイアに巻き込まれるようにします。これは、あなたがドックの残骸を救うことができないことを意味しますが、あなたが去る前に彼らが横たわっているどんな材料もスクロウニングします。
Currently mimicking: Praetor	現在、模倣：praetor
You pilot closer to the planet's surface. In the center of a large tent is a massive bonfire with an Orchid Praetor tied up! A large brutish Rockman stands waving his hands and speaking loudly to a cheering crowd of fellow Lost Suns. "The Gathering has made it clear where they stand on the side of liberty! They claim to be allies of the Federation and purveyors of peace, yet they continue to forge good-mannered relations with the Elders in the face of their own tyranny! Today we make an example of how the Lost Suns treat such indignation!"	惑星の表面に近いパイロット。大きなテントの中央には、オーキッドの賞賛者が縛られた巨大なbonき火があります！大きな残酷なロックマンは、手を振って、ロストサンズの歓声を上げる群衆と大声で話します。「集会は、彼らが自由の側に立つ場所を明確にしました！彼らは連邦の同盟国であり、平和の提供者であると主張していますが、彼らは自分の専制政治に直面して長老たちと善良な関係を築き続けています！失われた太陽がそのようなdigりをどのように扱うかの例を作ります！」
The Free Mantis put up a bloody fight, even against their desired allies. However, it was a fight you were more than capable of winning.	自由なマンティスは、彼らの望ましい同盟国に対してさえ、血まみれの戦いをしました。しかし、それはあなたが勝つことができる以上の戦いでした。
Receive the Grant of Stealth from Corby.	Corbyからステルスの助成金を受け取ります。
Currently Installed: Dextile Shells.⏎[+50% movement and healing speed]	現在インストールされています：DextileShells.⏎[+50％の動きと治癒速度]
System Repair: \1	システム修理：\1
Sylvan continues to rant for a while but eventually gets tired and stops. "Well, sssince you ssseem to have learned your lessson, perhapssss I will trade with you, ssstranger."	シルバンはしばらくの間暴言を続けていますが、最終的に疲れて止まります。「まあ、あなたはあなたのレッスソン、おそらく私があなたと交換するssssssssssssssssssssssssを学んだことをssseemにsssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssしています。」
It appears in your approach, you accidentally comitted a major felony. According to the station's security, your angle of approach went over by exactly 2 degrees, rounded up. This being an unforgiveable crime, they sentence you to death immediately. This is unusually strict, even for the Zoltans, so you assume it's only made up to get you in a fight!	それはあなたのアプローチに現れます、あなたは誤って大きな重罪をコミットしました。ステーションのセキュリティによると、あなたのアプローチの角度はちょうど2度丸くなり、切り上げられました。これは許されない犯罪であるため、彼らはあなたにすぐに死ぬように命じられます。これはゾルタンであっても異常に厳格ですので、あなたはあなたを戦いに導くためだけに作られていると思います！
Sec [Suz/Bish]: Slave Masters. [An upgrade is already installed]⏎[Engi repair speed is doubled for each Suzerain or Bishop in the room]	Sec [Suz/Bish]：奴隷マスター。[アップグレードはすでにインストールされています]⏎[部屋の宗主党または司教ごとにEngi修理速度が2倍になります]
We found Anurak!	Anurakを見つけました！
(Nights) Nights objects to the search!	（夜）夜は検索にオブジェクト！
Get out of here.	ここから出ていけ。
The Rebel puts on a facade of gratitude, which is shattered quickly when they pull out a laser and blast one of your crew! They shout "Rebellion forever!" before being shot in return. You drag the lifeless body to the airlock and send it into the endless vacuum of space.	反乱軍は感謝のファサードを置きます。彼らはレーザーを引き出して乗組員の一人を爆破するとすぐに粉砕されます！彼らは「永遠に反乱！」と叫ぶ見返りに撃たれる前に。活気のない体をエアロックにドラッグし、それを空間の無限の真空に送ります。
Hail the Zoltans to see what's wrong.	何が悪いのかを見るためにゾルタンを呼び起こします。
Bamalf	バマルフ
"Hahah! Don't be ssssilly, ssstranger. Invisssible? Ridiculoussss. I come from a reality where we exisssst only in 1 dimensssion."	「ははは！ssssill、ssstrangerにならないでください。invisssible？ridiculoussss。私は1次元でのみ存在する現実から来ています。」
Buy a phony crown.	偽の王冠を購入します。
"The stalwart Praetors, humble protectors of the... Gardenworlds. This one appears to have... abandoned its post to aid you. That is... most impressive. Well done, traveler. Expect... rewards before your next journey."	「頑固な賞賛者、...ガーデンワールドの謙虚な保護者。これは...あなたを助けるためにそのポストを放棄したようです。それは...最も印象的です。旅。"
The nearby Coalition's Rock soldier appears on the vid-screen, noticeably upset. "Bro, why you in my rock patch? Bro, you don't know how hard it was to convince the Coalition to let me have this... bro. Not cool."	近くの連合の岩兵は、vid画面に現れ、著しく動揺しています。「なぜ、なぜあなたは私のロックパッチにいるのですか？仲間、あなたは私にこれを私に持たせるように連合を説得するのがどれほど難しいかわかりません...仲間。クールではありません。」
Find Me Find Me Find Me Find Me Find Me Find Me.	私が見つかったのを見つけてください
Try to steer the satellite back in place.	衛星を元に戻してください。
This Rock ship comes armed only with missile weaponry, which is usually a massive downside. However, it is also capable of turning excess materials into ammunition.	この岩船には、ミサイルの武器でのみ武装しています。これは通常、巨大な欠点です。ただし、余分な材料を弾薬に変えることもできます。
Ivar seems to be chatting with someone over video messenger. He holds up a vine as you approach, to indicate that it's not a good time.	Ivarはビデオメッセンジャーで誰かとチャットしているようです。彼はあなたが近づいているときにつるを抱きしめ、それが良い時間ではないことを示します。
Relent and donate anyway.	とにかく容赦して寄付します。
"Oh of courssse, my apologiessss sstranger! I didn't even realize! Thisss meansss you are truly worthy of the one truth of the sssecret jewel of the one truth!"	「ああ、Courssseのああ、私の謝罪者sstranger！私は気づかなかった！これは、あなたが1つの真実の秘密の宝石の1つの真実に本当にふさわしいことを意味します！」
"You saved us! Thhhat was a Federation ship thhhough... You would betray your own people to save us? I'm not sure how to thhhink about thhhat - but I don't have time to anyways. Please, I hope you will allow me to come withhh you now thhhat I cannot stay here. I will of course still free thhhese men and send thhhem back to thhheir ship first."	「あなたは私たちを救った！連盟の船だった...あなたは私たちを救うためにあなた自身の人々を裏切るだろうか？私がここにとどまることができない今、私はあなたと一緒に来ることを許します。もちろん、私はまだthhhheseの男性を解放し、最初にthhheir船に送り返します。」
Wait for the slaver to catch their quarry.	奴隷が採石場を捕まえるのを待ちます。
3QU3STR14	3Qu3str14
The Vagabond seems relieved as you let it onto your ship. "Alas, these mechanical abominations hath devoured mine vessel! Permit my gratitude, o savior."	あなたが船に乗せたとき、迷走馬は安心したようです。「悲しいかな、これらの機械的な憎しみは鉱山の船を貪りました！私の感謝の気持ちを許してください、救い主」
1.2x combat damage, 0.8x repair speed	1.2倍の戦闘ダメージ、0.8倍の修理速度
Geniocracy Notoriety [4+]	geniocracy Notoriety [4+]
[Level 4] Grants 20% chance to prevent hull or system damage. Can be upgraded at empty beacons to a max of 80%.⏎Cannot block the damage of projectiles or bombs with a guaranteed breach chance.	[レベル4]は、船体やシステムの損傷を防ぐために20％の確率で確定します。空のビーコンで最大80％にアップグレードできます。
"Thank god. In an absssstract, theoretical way. Becausssse we're not doing anyth-" These guys aren't fooling anyone, but they aren't your problem to deal with. You cut the comm and prepare to jump away.	「神に感謝します。膿瘍、理論的な方法で。あなたは通信をカットし、飛び去る準備をします。
Anurak, upon hearing your suggestion, nods. "Yes, if you could just send him a message! Uh, tell him that Anurak is here, looking for him. I need to talk about important personal business."⏎⏎"And why should I do anything for you, Monk? I know your type. I used to pop the heads off of religious zealots back in-"⏎⏎The Rockman is cut off by a raspy voice gleefully shouting Anurak's name. "ANURAK! You've come to me at last!" A slender Zoltan struts out from the door and pulls Anurak into a brotherly embrace. "My old friend! I heard you had died on some lizard planet!" Devorak pulls away for a second to look his old friend in the face. Anurak squirms uncomfortably in his embrace.	アヌラック、あなたの提案を聞いて、うなずきます。「はい、あなたが彼にメッセージを送ることができれば！ええと、アヌラクがここにいることを彼に言って、彼を探している。私は重要な個人的なビジネスについて話す必要がある。」あなたのタイプを知ってください。私は宗教的な熱狂者から頭を飛び出していました。「アヌラック！あなたはついに私のところに来ました！」細いゾルタンがドアから突き出て、アヌラックを兄弟の抱擁に引き込みます。「私の古い友人！あなたがいくつかのトカゲの惑星で死んだと聞いた！」デボラックは、彼の古い友人を顔に見せるために一瞬引き離します。アヌラックは彼の抱擁で不快に身をよじります。
You follow Anurak to the docking port, though with his strange hobbling even more haphazard than normal, you figure he's just as unsure what to do as you are. As Anurak approaches a small metal door guarded by a burly Outcast, you take a glance around you. No sighting of Jack or any Syndicate or Rebel ships around. Maybe that's for the best?⏎⏎"Hello door man! Man who guards doors. As you are. Because you're standing by the door!" Anurak laughs uncomfortably and the Rockman growls. "I'm a woman."⏎⏎"Oh, yes yes. Of course, I didn't intend to offend! By door man I did not intend to imply gender, only that you are a 'man who guards' doors. Man being as in 'Rockman', in its most gender neutral form! I too am of a neutral gender form, though I do not oft-" The Rockman growls again. "Shut the hell up. Unless you've got business here, you ain't welcome." She looks up at you and your crew. "Specially no Renegades."⏎⏎Anurak nods. "Yes of course, right... well uh. I do believe we do have business here, yes! My friend Shellskenbry and I are here to find a man named Devorak! About yay high, light green, carries a big goofy looking orange sword. Have you seen him?"⏎⏎The Rockman crosses her arms. "Never heard of him. And even if I had, I wouldn't let anyone near him unless they had a password."⏎⏎"A... A password? Uhm... I don't think I know any passwords. Well, I know many passwords. But I don't know if the passwords I know are the same passwords you know. I can make you some soup! Will that get us inside?"⏎⏎"No." The Rockman steps to the side, further blocking the door. You notice a few other guards, all Zoltan, hiding in the shadows watching you.	あなたはアヌラックをドッキングポートに連れて行きますが、彼の奇妙なホブリングは通常よりもさらに偶然の波状であるが、彼はあなたと同じように何をすべきかわからないと思う。AnurakがBurly Outcastに守られた小さな金属製のドアに近づくと、あなたはあなたの周りを一目見ます。ジャックやシンジケートや反乱軍の目撃はありません。たぶんそれは最高ですか？アヌラックは不快に笑い、ロックマンはうなります。「私は女性です。」⏎⏎ "ああ、はい。もちろん、私は気分を害するつもりはありませんでした！ドアマンによって、私は性別を暗示するつもりはありませんでした。「ロックマン」のように、最も性別の中立的な形である男は、私も中立の性別の形ですが、私はしばしばしませんが、ロックマンは再びうなります。「地獄を閉じてください。ここでビジネスをしていない限り、歓迎されません。」彼女はあなたとあなたの乗組員を見上げます。「特に反復はありません。」「もちろん、そうです...まあええと。私たちはここでビジネスをしていると信じています、はい！剣。あなたは彼を見たことがありますか？」「彼のことを聞いたことはありません。たとえ私が持っていたとしても、パスワードを持っていない限り彼の近くには誰にも許さないでしょう。」。まあ、私は多くのパスワードを知っています。しかし、私が知っているパスワードがあなたが知っているのと同じパスワードであるかどうかはわかりません。私はあなたにスープを作ることができます！ロックマンは横に歩き、ドアをさらにブロックします。あなたは他のいくつかの警備員、すべてのゾルタンがあなたを見ている影に隠れていることに気づきます。
The construction ships begin to flee. This is your chance to take it down.	建設船は逃げ始めます。これはそれを倒すチャンスです。
The Hackers are a deadly group of Slugs who, as their name would suggest, excel at creating chaos through hacking.	ハッカーは、彼らの名前が示唆するように、ハッキングを通じてカオスを作成することに優れている致命的なナメクジのグループです。
(Upg. Sensors) Run an advanced scan on the boxes.	（Upg。Sensors）ボックスで高度なスキャンを実行します。
Tell them about the mistake.	間違いについて教えてください。
(Orchid Children) Give the drone some plant matter.	（蘭の子供）ドローンに植物の問題を与えます。
Agree and go attract the attention of the checkpoint.	同意し、チェックポイントの注意を引き付けます。
I'm sorry for thoughtlessly endangering the lives of children.	子供たちの生活を無意識のうちに危険にさらしてすみません。
This is the location of abnormal energy signatures. [Lanius B]	これは、異常なエネルギー署名の位置です。[ラニウスB]
"You = in danger. Likelihood that dangerous fugitives = using your ship: 70%. Grant this ship access or risk destruction."	「あなた=危険にさらされています。危険な逃亡者=あなたの船を使用する可能性が高い：70％。この船のアクセスまたはリスク破壊を許可してください。」
(MFK Ace Crew) Make a case against the Rebellion.	（MFKエースクルー）反乱に対して主張します。
The salesman quickly shuts off the display and activates their weapons.	セールスマンはすぐにディスプレイをシャットダウンし、武器をアクティブにします。
"Pete is dead? How unfortunate. Such a strange, strange accident, isn't it Renegade? I suppose we may never know the cause. Never matter, those photographs of dubious quality you have recovered don't appear to provide much for my pursuit of data. Don't trouble yourself over it. For your efforts, I will compensate you regardless."	「ピートは死んでいますか？どれほど不幸です。そのような奇妙で奇妙な事故、それは再編成ではありませんか？私たちは原因を決して知らないかもしれません。データの追求。それを悩ませないでください。あなたの努力のために、私はあなたに関係なく補います。」
"Very good. Now for your compensation. Please do not move your [ship]." The Separatists run a scan over your vessel, giving you a tingly feeling all over your body. The Separatists hail you again, this time looking very similar to you. "My job is less than 100%, but it will work for now. I have masked your jump signature. The fleet will now follow me. Good day."	「非常に良い。今、あなたの補償のために。あなたの[船]を動かさないでください。」分離主義者はあなたの容器の上でスキャンを実行し、あなたの体全体にあなたにチクチクした気持ちを与えます。分離主義者は再びあなたを歓迎します、今回はあなたに非常によく似ています。「私の仕事は100％未満ですが、今のところ機能します。ジャンプの署名を隠しています。艦隊は今私に続きます。良い日です。」
A Vampweed marketplace is looping an automated message. "Have excess spores? Ready for harvesting? We'll buy them in bulk! No extra fees!"	VampWeed Marketplaceは、自動化されたメッセージをループしています。「余分な胞子を持っていますか？収穫の準備ができていますか？私たちはそれらをまとめて購入します！追加料金はありません！」
A poorly armed Union ship is stuck at this beacon, evidently out of fuel. They beg you to spare them some capsules so that they can escape the sector before a Lost Sun patrol finds them.	武装していない北軍の船は、明らかに燃料から外れているこのビーコンに立ち往生しています。彼らは、失われた太陽のパトロールがそれらを見つける前にセクターから逃れることができるように、彼らにいくつかのカプセルをspareしまないように頼みます。
While you speak further with Allta, you proceed to discreetly download the trajectory and coordinates of the strange Zoltan ship. You aren't sure where this will lead, but clearly there's something there the Ministry doesn't want anyone near.	Alltaとさらに話をしている間、奇妙なZoltan船の軌跡と座標を慎重にダウンロードします。これがどこにつながるのかはわかりませんが、明らかに、ミニストリーが近くに誰も望んでいないものがあります。
"Hey, I'm Cole, and that idiot over there is Gabe." Gabe begins to say something, but Cole tells him to shut up. "The idiot over here claims that bolts are called nuts, which is stupid! Everyone knows they're called bolts, not nuts. A nut is something you eat, they aren't made of metal!" To prove his point, Cole holds up the aforementioned bolt, which is a screw. Both await for you to tell them which is the right name.	「ねえ、私はコールで、あそこのその馬鹿はゲイブです。」ゲイブは何かを言い始めますが、コールは彼に黙るように言います。「ここの馬鹿は、ボルトはナッツと呼ばれると主張しています。これは愚かです！誰もが彼らがナッツではなくボルトと呼ばれることを知っています。ナットはあなたが食べるものであり、金属製ではありません！」彼の主張を証明するために、コールは前述のボルトを押し続けます。これはネジです。どちらもあなたが彼らに正しい名前であることを伝えるのを待っています。
A special agent from a far away reality with a special stake in enforcing interdimensional continuity.⏎⏎Inherited Sylvan stats: 250 HP, 1.5x combat damage, massive hazardous damage resistance	次元間連続性の実施に特別な利害関係にある遠い現実からの特別なエージェント。
"Alkram is right. We have the perfect opportunity to destroy an enemy and cultivate an allegiance. I wholeheartedly throw my support behind this plan."	「アルカラムは正しい。敵を破壊し、忠誠を育てる絶好の機会がある。私は心からこの計画の背後に私の支持を投げかけている。」
The Florals nod. "I am dissapointed, but I can respect your decision. Safe travels."	今花。「私は失望していますが、私はあなたの決定を尊重することができます。安全な旅行。」
Tell them about the settlers to gauge their reaction.	彼らの反応を測定するために入植者について彼らに伝えてください。
